text_ts	s_r	num_chars	num_words	min_since_prev
2013-02-09 20:26:00	SNT	152	33	NULL
2013-02-09 20:27:00	RCV	37	7	1
2013-02-09 20:28:00	SNT	64	13	1
2013-02-09 20:34:00	RCV	86	16	6
2013-02-09 20:39:00	SNT	46	9	5
2013-02-09 20:42:00	RCV	55	11	3
2013-02-09 20:48:00	SNT	108	23	6
2013-02-09 21:01:00	RCV	46	7	13
2013-02-09 21:04:00	SNT	100	20	3
2013-02-09 21:08:00	RCV	80	18	4
2013-02-09 21:12:00	SNT	247	47	4
2013-02-09 21:20:00	RCV	72	13	8
2013-02-09 21:25:00	SNT	42	9	5
2013-02-09 21:29:00	RCV	100	19	4
2013-02-09 21:35:00	SNT	80	17	6
2013-02-09 21:48:00	RCV	21	5	13
2013-02-10 09:17:00	SNT	5	1	689
2013-02-10 09:19:00	RCV	71	13	2
2013-02-10 09:33:00	SNT	131	27	14
2013-02-10 13:46:00	RCV	90	15	253
2013-02-10 13:54:00	SNT	21	5	8
2013-02-10 13:55:00	SNT	55	10	1
2013-02-10 13:57:00	RCV	53	9	2
2013-02-10 13:57:00	RCV	19	3	0
2013-02-10 14:09:00	SNT	103	20	12
2013-02-10 14:30:00	RCV	12	3	21
2013-02-10 14:31:00	RCV	20	4	1
2013-02-10 14:32:00	SNT	70	11	1
2013-02-10 14:36:00	SNT	257	47	4
2013-02-10 14:47:00	RCV	27	5	11
2013-02-10 14:48:00	RCV	164	33	1
2013-02-10 15:19:00	SNT	145	29	31
2013-02-10 15:24:00	RCV	42	7	5
2013-02-10 20:29:00	SNT	98	16	305
2013-02-10 20:29:00	RCV	66	12	0
2013-02-10 20:50:00	SNT	94	19	21
2013-02-10 20:59:00	RCV	114	20	9
2013-02-10 21:03:00	RCV	49	10	4
2013-02-10 21:13:00	SNT	380	75	10
2013-02-10 21:13:00	SNT	46	6	0
2013-02-10 21:14:00	RCV	106	20	1
2013-02-10 21:18:00	RCV	17	5	4
2013-02-10 21:19:00	SNT	169	34	1
2013-02-10 21:19:00	SNT	48	8	0
2013-02-10 21:20:00	RCV	61	12	1
2013-02-10 21:21:00	SNT	64	12	1
2013-02-10 21:22:00	RCV	82	12	1
2013-02-10 21:24:00	SNT	119	24	2
2013-02-10 21:25:00	RCV	6	1	1
2013-02-10 21:25:00	RCV	26	3	0
2013-02-10 21:26:00	SNT	201	36	1
2013-02-10 21:29:00	RCV	83	13	3
2013-02-10 21:29:00	RCV	22	6	0
2013-02-10 21:32:00	SNT	292	57	3
2013-02-10 21:37:00	RCV	206	35	5
2013-02-10 21:41:00	RCV	89	16	4
2013-02-10 21:45:00	SNT	190	34	4
2013-02-10 21:46:00	RCV	75	11	1
2013-02-10 21:46:00	RCV	42	8	0
2013-02-10 21:46:00	RCV	39	7	0
2013-02-10 21:46:00	SNT	79	16	0
2013-02-10 21:47:00	SNT	62	13	1
2013-02-10 21:47:00	SNT	3	1	0
2013-02-10 21:48:00	SNT	10	2	1
2013-02-10 21:48:00	RCV	54	9	0
2013-02-10 21:48:00	RCV	24	5	0
2013-02-10 21:48:00	SNT	165	31	0
2013-02-10 21:49:00	SNT	64	15	1
2013-02-10 21:50:00	RCV	47	8	1
2013-02-10 21:51:00	SNT	138	27	1
2013-02-10 21:52:00	SNT	60	11	1
2013-02-10 21:52:00	RCV	13	3	0
2013-02-10 21:52:00	RCV	26	5	0
2013-02-10 21:53:00	SNT	126	26	1
2013-02-10 21:54:00	RCV	33	5	1
2013-02-10 21:54:00	RCV	5	1	0
2013-02-10 21:55:00	SNT	164	31	1
2013-02-10 21:55:00	SNT	45	9	0
2013-02-10 21:55:00	SNT	69	12	0
2013-02-10 21:57:00	SNT	58	12	2
2013-02-10 21:57:00	RCV	15	3	0
2013-02-10 21:57:00	SNT	6	1	0
2013-02-10 21:57:00	RCV	10	1	0
2013-02-10 21:58:00	SNT	76	14	1
2013-02-10 21:59:00	RCV	97	16	1
2013-02-10 21:59:00	SNT	152	28	0
2013-02-10 21:59:00	RCV	29	4	0
2013-02-10 22:00:00	SNT	162	31	1
2013-02-10 22:01:00	RCV	5	1	1
2013-02-10 22:01:00	RCV	7	1	0
2013-02-10 22:01:00	SNT	12	2	0
2013-02-10 22:02:00	SNT	41	7	1
2013-02-10 22:07:00	RCV	138	18	5
2013-02-10 22:07:00	RCV	22	4	0
2013-02-10 22:08:00	SNT	31	7	1
2013-02-10 22:09:00	RCV	9	2	1
2013-02-10 22:09:00	SNT	112	25	0
2013-02-10 22:10:00	RCV	18	3	1
2013-02-10 22:11:00	RCV	57	10	1
2013-02-10 22:11:00	RCV	92	18	0
2013-02-10 22:12:00	RCV	44	7	1
2013-02-10 22:12:00	SNT	68	13	0
2013-02-10 22:14:00	RCV	155	31	2
2013-02-10 22:16:00	SNT	183	33	2
2013-02-10 22:16:00	RCV	66	11	0
2013-02-10 22:16:00	RCV	55	9	0
2013-02-10 22:18:00	SNT	110	21	2
2013-02-10 22:18:00	RCV	60	8	0
2013-02-10 22:22:00	SNT	249	52	4
2013-02-10 22:22:00	SNT	46	10	0
2013-02-10 22:24:00	RCV	54	10	2
2013-02-10 22:26:00	SNT	13	3	2
2013-02-10 22:27:00	RCV	57	11	1
2013-02-10 22:30:00	SNT	322	59	3
